Title,Creator,Publication,Date,DOI,Citations,Abstract
"Structural insights into PKS13 Thioesterase inhibitors targeting Mycobacterium tuberculosis for drug-resistant tuberculosis therapy: Identification, stability assessment, and pharmacophore modeling",Rehman Z.U.,Results in Chemistry,2025-07-01,10.1016/j.rechem.2025.102388,4,"Mycobacterium tuberculosis is the causative agent of tuberculosis, which remains a challenge in health worldwide due to the increase in strains resistant to most of the drugs used in its treatment. The study targeted a novel therapeutic target: the thioesterase domain of Polyketide Synthase 13, a key enzyme in mycolic acid biosynthesis. Using an 85 % structural similarity cutoff, 456 compounds were identified through a PubChem similarity search against the reference ligand JS9 (PubChem CID: 171362238). Three compounds (PubChem CIDs 92,074,896, 123,910,328, and 148,817,792) were shortlisted for detailed analysis following the virtual screening. Computational analyses using re-docking, MD simulation, MMGBSA binding energy calculation, and FEL analysis were done to assess the compounds' potential and binding stability. Among the compounds, 92,074,896 had the highest stability with the most favorable binding free energy of −93.41 ± 9.96 kcal/mol, presenting consistent hydrogen bonding and minimal conformational fluctuation. Compound 123,910,328 showed moderate flexibility with strong binding affinity, while 148,817,792 was adaptable though highly flexible. RMSF, radius of gyration, and FEL analyses further established stability and adaptability within the binding pocket. Pharmacophore modeling revealed a key AARR feature (two aromatic rings and two hydrogen bond acceptors) critical for effective ligand binding, highlighting the structural requirements for interaction with the Pks13 TE domain. These compounds represent promising lead compounds for further experimental validation and underscores the importance of pharmacophore modeling in guiding anti-TB drug discovery."
Computer-aided drug design approaches for the identification of potent inhibitors targeting elongation factor G of Mycobacterium tuberculosis,Wani M.A.,Journal of Molecular Graphics and Modelling,2025-05-01,10.1016/j.jmgm.2025.108954,7,Sin abstract en OpenAlex
Identification of a Series Containing a Pentafluorophenyl Moiety That Targets Pks13 to Inhibit Growth of Mycobacterium tuberculosis,Green S.R.,ACS Infectious Diseases,2025-03-14,10.1021/acsinfecdis.4c00808,2,"High Resolution Image Download MS PowerPoint Slide Although not currently in the infectious disease spotlight, there is still a pressing need for new agents to treat tuberculosis caused by Mycobacterium tuberculosis . As there is an ever-increasing amount of clinical resistance to the current drugs, ideally new drugs would be found against novel targets to circumvent pre-existing resistance. A phenotypic growth screen identified a novel singleton, 1, as an inhibitor of M. tuberculosis growth. Mechanism-of-action studies determined that 1 targeted Pks13, an essential enzyme in cell wall biosynthesis that, as of yet, has not been targeted by agents in the clinic. The reactive nature of the pentafluorophenyl warhead meant that the molecule was inherently metabolically unstable. A medicinal chemistry optimization program is described that resulted in the identification of a compound that was reactive enough to still inhibit Pks13 and M. tuberculosis growth while being metabolically stable enough to explore in vivo."
Identification of an Isoxazole Derivative as an Antitubercular Compound for Targeting the FadD Enzymes of Mycobacterium tuberculosis,Rani N.,Journal of Medicinal Chemistry,2025-01-09,10.1021/acs.jmedchem.4c01844,5,"FadD32, a fatty acyl-AMP ligase, plays an indispensable role in mycobacterial mycolic acid synthesis and is a validated target for tuberculosis (TB) drug development. The crystal structure of Mycobacterium tuberculosis (Mtb)FadD32 has laid the foundation of structure-based drug discovery against this crucial enzyme. Here, we screened the “isoxazole” scaffold containing molecules against MtbFadD32 and identified a compound 2,4-dibromo-6-[3-(trifluoromethyl)-1,2-oxazol-5-yl]phenol (M1) with specific inhibitory activity against Mtb. Kinetics experiments showed that M1 inhibits MtbFadD32 and MtbFadD28 activity. The transcriptomics response of Mtb disclosed M1-mediated regulation of mycobacterial decisive genes involved in cell wall synthesis, consequently creating unfavorable conditions for Mtb survival. Further, M1 curtails the Mtb survival in infected macrophages and reduces Mtb burden and tubercular granulomas in a chronic infection model of BALB/c mice. Our findings provide an effective chemical scaffold to inhibit MtbFadD32 with the potential to inhibit multiple MtbFadD family of enzymes for further development as a promising candidate for treating TB."
"Application of FreezeTB, a targeted nanopore sequencing assay, for identification of drug resistance and lineages among pulmonary tuberculosis cases in Alaska",Inman B.,Microbiology Spectrum,2025-01-06,10.1128/spectrum.02335-25,0,"ABSTRACT Alaska has the highest incidence of tuberculosis (TB) in the United States, with 8% mortality while undergoing TB treatment. With a quarter of TB cases lacking sputum culture to enable drug resistance testing, FreezeTB aimed to develop tools tailored to meet the challenges in Alaska while being translatable to other settings. We designed a rapid and cost-effective laboratory workflow and software to identify drug-resistant mutations in Mycobacterium tuberculosis using targeted next-generation sequencing (tNGS). FreezeTB, a Fast, Reliable, Economical Evaluation tool to Zap Endemic Tuberculosis, amplifies 22 gene loci associated with resistance to 16 anti-tuberculosis drugs. M. tuberculosis isolates from Alaska (2011–2024) were blinded and underwent analysis with FreezeTB, then compared with phenotypic drug susceptibility testing (pDST) and whole genome sequencing (WGS). Compared with WGS ( n = 79), FreezeTB provided the same mutations in 96% ( n = 76/79) of samples with 100% lineage agreement ( n = 79/79). Compared with pDST using Cohen’s kappa, FreezeTB had almost perfect agreement for rifampin (RIF, 0.90; n = 97/98) and ethambutol (EMB, 1.00; n = 98/98), strong agreement for isoniazid (INH, 0.80; n = 88/98), moderate agreement for ethionamide (ETO, 0.78; n = 95/98), weak agreement for streptomycin (STR, 0.56; n = 95/98), and no agreement for pyrazinamide (PZA, 0.20; n = 91/98). Using a portable nanopore sequencer, each sample cost under $30 for sequencing, which included a flow cell, a barcoding kit, a flow cell wash kit, a polymerase, and primers. FreezeTB provides a portable, 1-day laboratory and bioinformatic workflow for sequencing M. tuberculosis . Freeze TB can accurately determine mycobacterial lineage and resistance for RIF, INH, ETH, and ETO at a low cost. IMPORTANCE Globally, tuberculosis is the leading infectious cause of mortality with 10.8 million new cases and 1.25 million deaths occurring in 2024. Targeted next-generation sequencing (tNGS) is a rapid, cost-effective method for identifying mutations in the Mycobacterium tuberculosis genome associated with drug resistance. FreezeTB was created to provide low-cost, portable sequencing and tNGS analysis for drug resistance. FreezeTB selectively amplifies and sequences 24 targets of the M. tuberculosis genome that cover regions the WHO has designated as containing mutations conferring drug resistance, as well as provides species confirmation and rapid lineage determination. Freeze TB is a laboratory workflow and free, open-source (OS) low dependency bioinformatic software that can be downloaded onto a computer with no further need for internet access. Using M. tuberculosis isolates from Alaska, FreezeTB provided the same mutations in 96% ( n = 76/79) of samples with 100% lineage agreement ( n = 79/79) compared with whole genome sequencing."
Targeting Mycobacterium tuberculosis: identification of potential phytochemicals from traditional plants against glucosyl-3-phosphoglycerate phosphatase (GpgP),Singh P.,Journal of Biomolecular Structure and Dynamics,2025-01-01,10.1080/07391102.2025.2509789,1,"Tuberculosis (TB) is a transmissible disease that causes severe infections in adults as well as in infants, as they have immature immune systems. Lungs are the main site for pulmonary TB infection, although TB can affect other parts like lymph nodes, bone, joints, etc., which is known as extrapulmonary TB. M. tuberculosis is becoming one of the world’s most severe pathogens due to growing multidrug resistance (MDR) and extensively drug resistance (XDR), rendering treatment medications useless. GpgP was chosen as the promising drug target protein in this study because it is primarily involved in the catalysis of the second step in the production of Methylglucose lipopolysaccharides (MGLPs), which regulate the synthesis of mycolic acids, which are an essential component for building the mycobacterial cell envelope. The cell envelope of M. tuberculosis is unique and is responsible for the bacteria’s flexibility and pathogenicity. An in-house library of phytochemicals was utilized for screening in AutoDock Vina, and then the ligands were docked using AutoDock with the drug target protein for further validation. Then, four ligands were filtered out using SwissADME that were further studied by performing molecular dynamic simulations. After a thorough analysis, CID_446611 and CID_5282146 ligands were identified as potential inhibitors of GpgP."
"Identification of potential molecular targets and repurposed drugs for tuberculosis using network-based screening approach, molecular docking, and simulation",Krishnan A.,Journal of Biomolecular Structure and Dynamics,2025-01-01,10.1080/07391102.2023.2279699,1,"The spread of drug-resistant strains of tuberculosis has hampered efforts to control the disease worldwide. The Mycobacterium tuberculosis cell wall envelope is dynamic, with complex features that protect it from the host immunological response. As a result, the bacterial cell wall components represent a potential target for drug discovery. Protein-protein interaction networks (PPIN) are critical for understanding disease conditions and identifying precise therapeutic targets. We used a rational theoretical approach by constructing a PPIN with the proteins involved in cell wall biosynthesis. The PPIN was constructed through the STRING database and embB was identified as a key protein by using four topological measures, betweenness, closeness, degree, and eigenvector, in the CytoNCA tool in Cytoscape. The ‘Drug repurposing’ approach was employed to find suitable inhibitors against embB. We used the Schrödinger suites for molecular docking, molecular dynamics simulation, and binding free energy calculations to validate the binding of protein with the ligand. FDA-approved drugs from the ZINC database and DrugBank were screened against embB (PDB ID: 7BVF) using high-throughput virtual screening, standard precision, and extra precision docking. The drugs were screened based on the XP docking score of the standard drug ethambutol. Accordingly, from the top five hits, azilsartan and dihydroergotamine were selected based on the binding free energy values and were further subjected to Molecular Dynamics Simulation studies for 100 ns. Our study confirms that Azilsartan and Dihydroergotamine form stable complexes with embB and can be used as potential lead molecules based on further in vitro and in vivo experimental validation.Communicated by Ramaswamy H. Sarma"
Long short-term memory-based deep learning model for the discovery of antimicrobial peptides targeting Mycobacterium tuberculosis,Wang L.,Bioinformatics Advances,2025-01-01,10.1093/bioadv/vbaf274,2,"Motivation: , remains a global health challenge driven by rising antibiotic resistance. Antimicrobial peptides offer a promising alternative due to membrane-disruptive activity and low resistance potential, yet the scarcity of TB-specific AMP data constrains targeted development. We present a reproducible deep learning protocol that integrates long short-term memory networks with transfer learning to classify and generate TB-active peptides. Results: Classifiers were pretrained on a large corpus of general AMPs and fine-tuned on curated TB-specific sequences using frozen encoder and full backpropagation strategies. We benchmarked four model variants [unidirectional and bidirectional long short-term memories (LSTMs), with and without attention] on a held-out TB test set; the unidirectional LSTM with a frozen encoder achieved the best performance (accuracy 90%, AUC 0.97). In parallel, LSTM-based generative models were trained to produce de novo TB-active peptides. A generator trained exclusively on TB data produced 94 of 100 peptides predicted as antimicrobial by AMP Scanner, outperforming transfer learning-based generators. Generated peptides were evaluated for antimicrobial activity, toxicity, structure, and AMP-like physicochemical traits, and four candidates shared ≥84% identity with known TB-AMPs. Availability and implementation: The complete model and data can be found at: https://github.com/linfeng-wang/TB-AMP-design."
Exploring natural products library to identify potential inhibitors targeting isoniazid-resistant tuberculosis,N M.P.,Journal of Biomolecular Structure and Dynamics,2025-01-01,10.1080/07391102.2023.2283159,4,"Mycobacterium tuberculosis (MTB) causing tuberculosis (TB) infection is a leading source of illness and death in developing nations, and the emergence of drug-resistant TB remains a significant global threat and a challenge in treating the disease. Mutations in the inhA and katG genes are connected to the principal molecular mechanism of isoniazid (INH) resistance, and continuous treatment of INH for more than a decade led to the evolution of INH resistant-TB (inhR-TB). Structure-based drug discovery approaches on traditional natural compounds are the contemporary source to identify significant lead molecules. This work focuses on discovering effective small compounds from natural compound libraries and applying pharmacophore-based virtual screening to filter out the molecules. The best-identified hit complexes were used for molecular dynamics simulations (MDS) to observe their stability and compactness. A three-dimensional e-pharmacophore hypothesis and screening generated 62 hits based on phase fitness scores from the pharmacophore-based virtual screening. Molecular docking experiments in Maestro’s GLIDE module indicated that ZINC000002383126 and ASN22022 may be potential inhibitors of inhA and katG (native, inhA mutants S94A, Y158A, Y158F and Y158S and D137S, Y229F, S315T, W321F, and R418L mutants of katG). In addition, MDS analysis indicated that the native and mutant docked complexes of inhA and katG had good stability and remained compact in the binding pocket of the targets. In vitro studies can further validate the compounds that can act as INH competitive inhibitors.Communicated by Ramaswamy H. Sarma"
Target Identification of Bio-Inhibitor Against Mycobacterium Tuberculosis by Subtractive Proteomics Approach,Yongpisanphop J.,2025 13th International Conference on Bioinformatics and Computational Biology Icbcb 2025,2025-01-01,10.1109/ICBCB64873.2025.11198064,0,"The success of any particular enzyme inhibition depends heavily on target identification, which is a critical step in the inhibitor discovery and development process. In the current study, the subtractive proteomics approach was used to identify potential targets against Mycobacterium tuberculosis H37Rv. Various database and tools were used for an essential nonhomologous cytoplasmic enzyme in unique metabolic pathways identification. Only 173 proteins were identified as essential nonhomologous proteins in unique pathways. Eventually, an isocitrate lyase was selected as a potential target for further molecular docking of natural product obtained from NPASS database. Four natural products were the potential candidates based on their binding energy in ranged of −5.09 to −6.92 kcal/mol. Metadynamic simulations also confirmed the binding stability of aconitic acid in isocitrate lyase. Thus, this study gives a platform for target identification that is potentially rapid and costly. Even the most promising results from computational studies should be validated through further wet-lab study before application."
Identification and Analysis of Autophagy-Related Genes as Diagnostic Markers and Potential Therapeutic Targets for Tuberculosis Through Bioinformatics,Luo T.,DNA and Cell Biology,2025-01-01,10.1089/dna.2024.0166,1,"According to the World Health Organization, Mycobacterium tuberculosis infections affect approximately 25% of the world’s population. There is mounting evidence linking autophagy and immunological dysregulation to tuberculosis (TB). As a result, this research set out to discover TB-related autophagy-related biomarkers and prospective treatment targets. We used five autophagy databases to get genes linked to autophagy and Gene Expression Omnibus databases to get genes connected to TB. Then, functional modules associated with autophagy were obtained by analyzing them using weighted gene co-expression network analysis. Both Gene Ontology and Kyoto Encyclopedia of Genes and Genomes were used to examine the autophagy-related genes (ATGs) of important modules. Limma was used to identify differentially expressed ATGs (DE-ATGs), and the external datasets were used to further confirm their identification. We used DE-ATGs and a protein–protein interaction network to search the hub genes. CIBERSORT was used to estimate the kinds and amounts of immune cells. After that, we built a drug–gene interaction network and a network that included messenger RNA, small RNA, and DNA. At last, the differential expression of hub ATGs was confirmed by RT-qPCR, immunohistochemistry, and western blotting. The diagnostic usefulness of hub ATGs was evaluated using receiver operating characteristic curve analysis. Including 508 ATGs, four of the nine modules strongly linked with TB were deemed essential. Interleukin 1B (IL1B), CAPS1, and signal transducer and activator of transcription 1 (STAT1) were identified by intersection out of 22 DE-ATGs discovered by differential expression analysis. Research into immune cell infiltration found that patients with TB had an increased proportion of plasma cells, CD8 T cells, and M0 macrophages. A competitive endogenous RNA network utilized 10 long non-coding RNAs and 2 miRNAs. Then, the IL1B-targeted drug Cankinumad was assessed using this network. During bioinformatics analysis, three hub genes were validated in mouse and macrophage infection models. We found that IL1B, CASP1, and STAT1 are important biomarkers for TB. As a result, these crucial hub genes may hold promise as TB treatment targets."
A comprehensive evaluation of a novel targeted-sequencing workflow for Mycobacterium species identification and anti-tuberculosis drug-resistance detection,Ou X.,Frontiers in Cellular and Infection Microbiology,2025-01-01,10.3389/fcimb.2025.1584237,1,"Background Although several World Health Organization–endorsed targeted next-generation sequencing (tNGS) assays exist for tuberculosis (TB) drug-resistance detection, their target selection and diagnostic accuracy vary widely. In this study, we developed a novel tNGS workflow (the TB Pro assay) and evaluated its performance in identifying Mycobacterium species and predicting drug resistance. Methods The TB Pro assay was validated for identifying 10 Mycobacterium tuberculosis complex (MTBC) and 39 nontuberculous mycobacterial (NTM) species, as well as predicting resistance to 4 first-line and 13 second-line anti-TB drugs. The limit of detection (LOD) was determined using 11 reference strains spiked in sputum. The prediction of resistance to anti-tuberculous drugs/drug classes was compared with phenotypic drug susceptibility testing (pDST) and whole-genome sequencing (WGS) using 435 clinical isolates. Results The assay demonstrated high sensitivity with a calculated LOD of 3.0 CFU/ml for MTB and 1.4–16.2 CFU/ml for most NTMs, except for Mycobacterium intracellulare with 117.9 CFU/ml. Using pDST as the reference standard, the sensitivity of the TB Pro assay for the detection of resistance ranged from 74.3% (ethambutol) to 94.4% (rifampicin), with specificity values &amp;gt;98% for all drugs. Compared with WGS, the sensitivity of the TB Pro assay was over 98.0% for all drugs except pyrazinamide (66.7%), and the specificity values were all nearly 100.0%. Directly on sputum, the TB Pro assay showed 100% agreement with smear- and culture-positive sputum specimens. Conclusions The TB Pro assay represents a sensitive and specific solution for simultaneous mycobacterial identification and comprehensive drug-resistance profiling, performing robustly on both cultured isolates and direct clinical specimens."
Targeting drug-resistant Mycobacterium tuberculosis: an integrated computational approach to identify DprE2 inhibitors,Saxena S.,SAR and QSAR in Environmental Research,2025-01-01,10.1080/1062936X.2025.2506055,1,"remains one of the leading causes of death from a single infectious agent, posing a major global health challenge. The rise of drug-resistant strains has intensified the need for novel therapeutic agents. Pretomanid and delamanid, two recently developed antitubercular drugs, are bicyclic nitroimidazoles that act as prodrugs, requiring activation by specific mycobacterial enzymes. However, the precise molecular targets of their active metabolites are not fully explained. Recent studies have identified DprE2, an essential enzyme in the biosynthesis of decaprenylphosphoryl-β-D-arabinofuranose (DPA) and arabinogalactan, as a potential target of delamanid. In this study, we applied structure-based pharmacophore modelling to identify potential inhibitors targeting DprE2. High-throughput virtual screening, followed by molecular docking, was used to evaluate binding affinities. ADMET predictions were incorporated to assess drug likeness and pharmacokinetic profiles. Nine promising hits were shortlisted, and their binding stability was further evaluated using 250 ns molecular dynamics simulations. Binding free energy calculations using the MM-GBSA method were then applied to refine the selection, identifying five potent lead molecules. These candidates show strong potential for further development as DprE2 inhibitors, offering a new path in the fight against drug-resistant tuberculosis."
Discovery of potent antimycobacterial agents targeting lumazine synthase (RibH) of Mycobacterium tuberculosis,Singh M.,Scientific Reports,2024-12-01,10.1038/s41598-024-63051-6,8,"Tuberculosis (TB) continues to be a global health crisis, necessitating urgent interventions to address drug resistance and improve treatment efficacy. In this study, we validate lumazine synthase (RibH), a vital enzyme in the riboflavin biosynthetic pathway, as a potential drug target against Mycobacterium tuberculosis (M. tb) using a CRISPRi-based conditional gene knockdown strategy. We employ a high-throughput molecular docking approach to screen ~ 600,000 compounds targeting RibH. Through in vitro screening of 55 shortlisted compounds, we discover 3 compounds that exhibit potent antimycobacterial activity. These compounds also reduce intracellular burden of M. tb during macrophage infection and prevent the resuscitation of the nutrient-starved persister bacteria. Moreover, these three compounds enhance the bactericidal effect of first-line anti-TB drugs, isoniazid and rifampicin. Corroborating with the in silico predicted high docking scores along with favourable ADME and toxicity profiles, all three compounds demonstrate binding affinity towards purified lumazine synthase enzyme in vitro, in addition these compounds exhibit riboflavin displacement in an in vitro assay with purified lumazine synthase indicative of specificity of these compounds to the active site. Further, treatment of M. tb with these compounds indicate reduced production of flavin adenine dinucleotide (FAD), the ultimate end product of the riboflavin biosynthetic pathway suggesting the action of these drugs on riboflavin biosynthesis. These compounds also show acceptable safety profile in mammalian cells, with a high selective index. Hence, our study validates RibH as an important drug target against M. tb and identifies potent antimycobacterial agents."
